[INFO] 2026-01-28 21:11:03,489 autoreload Watching for file changes with StatReloader
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1768573766.1987557
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\templatetags\static.py first seen with mtime 1768573766.352118
[DEBUG] 2026-01-28 21:11:03,868 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1768573760.194264
[DEBUG] 2026-01-28 21:11:03,870 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\http\server.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,870 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,870 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\inspect.py first seen with mtime 1768573766.3926706
[DEBUG] 2026-01-28 21:11:03,870 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\generics.py first seen with mtime 1769439193.5904508
[DEBUG] 2026-01-28 21:11:03,871 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1768573762.9638262
[DEBUG] 2026-01-28 21:11:03,871 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\questioner.py first seen with mtime 1768573766.1573646
[DEBUG] 2026-01-28 21:11:03,871 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1768573766.0986624
[DEBUG] 2026-01-28 21:11:03,871 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1768573766.0370164
[DEBUG] 2026-01-28 21:11:03,872 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1769439193.9088964
[DEBUG] 2026-01-28 21:11:03,874 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\move.py first seen with mtime 1768573766.0240695
[DEBUG] 2026-01-28 21:11:03,874 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1768573766.345934
[DEBUG] 2026-01-28 21:11:03,874 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1768573766.396915
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\dataclasses.py first seen with mtime 1707239442.0
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1768573762.969966
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\__init__.py first seen with mtime 1768573761.3505023
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1768573766.1573646
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1768573766.3728738
[DEBUG] 2026-01-28 21:11:03,875 autoreload File C:\Users\Abhihail Jacob\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\__init__.py first seen with mtime 1707239442.0
